Alpha_Name,Total_Return_%,BH_Return_%,Excess_Return_%,Annual_Volatility_%,Sharpe_Ratio,BH_Sharpe,Sortino_Ratio,BH_Sortino,Max_Drawdown_%,Win_Rate_%,Num_Trades,Final_Value,BH_Final_Value
Momentum_20d,-37.050502734537986,37.3001332566733,-74.35063599121128,32.73135812730038,-0.1924641388849292,0.4073646156186653,-0.2905643372808297,0.7062831462258709,-67.41790207479971,50.10204081632653,209,62949.497265462014,137300.1332566733
Momentum_10d,-55.649022698585505,37.3001332566733,-92.9491559552588,33.07544200212017,-0.45436911969861576,0.4073646156186653,-0.7200559823373966,0.7062831462258709,-68.64749913121982,48.68686868686869,275,44350.977301414496,137300.1332566733
MeanReversion_20,-2.2019592557183443,37.3001332566733,-39.50209251239164,11.679150301702348,0.010223193406952264,0.4073646156186653,0.006103740271277093,0.7062831462258709,-28.173928212474873,36.93181818181818,122,97798.04074428165,137300.1332566733
MACD,-34.00439929970488,37.3001332566733,-71.30453255637818,32.98804544093722,-0.1525399624621725,0.4073646156186653,-0.23854641686072267,0.7062831462258709,-58.17298377228417,48.74874874874875,150,65995.60070029512,137300.1332566733
RSI,-20.86736567660318,37.3001332566733,-58.16749893327648,15.219511345427986,-0.3118680333507762,0.4073646156186653,-0.2517507374606116,0.7062831462258709,-30.28278203280692,40.26402640264026,114,79132.63432339682,137300.1332566733
SMA_20_50,-14.704571658769938,37.3001332566733,-52.004704915443234,32.77554976561809,0.041282732477669934,0.4073646156186653,0.06809136873741853,0.7062831462258709,-59.38563613287029,49.74974974974975,40,85295.42834123006,137300.1332566733
Volume,-14.276164076321884,37.3001332566733,-51.57629733299518,14.593477605829323,-0.1936475697381944,0.4073646156186653,-0.1651353858166697,0.7062831462258709,-25.823154781794717,27.299703264094955,332,85723.83592367811,137300.1332566733
